request_creation_time;elb_status_code;target_status_code;time
2021-01-27T12:09:37.942000Z;200;200;2021-01-27T12:09:38.011576Z
2021-01-27T12:09:37.947000Z;200;200;2021-01-27T12:09:37.976457Z
2021-01-27T12:09:38.088000Z;200;200;2021-01-27T12:09:38.142672Z
2021-01-27T12:09:38.089000Z;200;200;2021-01-27T12:09:38.142301Z
2021-01-27T12:09:38.249000Z;200;200;2021-01-27T12:09:38.299379Z
2021-01-27T12:09:38.259000Z;200;200;2021-01-27T12:09:38.315001Z
2021-01-27T12:09:38.388000Z;200;200;2021-01-27T12:09:38.437886Z
2021-01-27T12:09:38.450000Z;200;200;2021-01-27T12:09:38.488416Z
2021-01-27T12:09:38.536000Z;200;200;2021-01-27T12:09:38.571812Z
2021-01-27T12:09:38.614000Z;200;200;2021-01-27T12:09:38.649900Z
2021-01-27T12:09:38.693000Z;200;200;2021-01-27T12:09:38.728389Z
2021-01-27T12:09:38.806000Z;200;200;2021-01-27T12:09:38.869479Z
2021-01-27T12:09:38.815000Z;200;200;2021-01-27T12:09:38.872122Z
2021-01-27T12:09:38.821000Z;200;200;2021-01-27T12:09:38.899868Z
2021-01-27T12:09:38.822000Z;200;200;2021-01-27T12:09:38.891464Z
2021-01-27T12:09:38.987000Z;200;200;2021-01-27T12:09:39.022687Z
2021-01-27T12:09:39.222000Z;200;200;2021-01-27T12:09:39.256880Z
2021-01-27T12:09:39.279000Z;200;200;2021-01-27T12:09:39.314168Z
2021-01-27T12:09:39.368000Z;200;200;2021-01-27T12:09:39.405260Z
2021-01-27T12:09:39.444000Z;200;200;2021-01-27T12:09:39.477171Z
2021-01-27T12:09:39.603000Z;200;200;2021-01-27T12:09:39.641983Z
2021-01-27T12:09:40.163000Z;200;200;2021-01-27T12:09:40.208154Z
2021-01-27T12:09:40.255000Z;200;200;2021-01-27T12:09:40.303721Z
2021-01-27T12:09:40.624000Z;200;200;2021-01-27T12:09:40.671360Z
2021-01-27T12:09:40.751000Z;200;200;2021-01-27T12:09:40.928353Z
2021-01-27T12:09:40.956000Z;200;200;2021-01-27T12:09:41.005254Z
2021-01-27T12:09:41.008000Z;200;200;2021-01-27T12:09:41.045296Z
2021-01-27T12:09:41.171000Z;200;200;2021-01-27T12:09:41.205204Z
2021-01-27T12:09:41.283000Z;200;200;2021-01-27T12:09:41.331458Z
2021-01-27T12:09:41.703000Z;200;200;2021-01-27T12:09:41.741384Z
2021-01-27T12:09:41.746000Z;200;200;2021-01-27T12:09:41.804553Z
2021-01-27T12:09:41.758000Z;200;200;2021-01-27T12:09:41.799532Z
2021-01-27T12:09:42.232000Z;200;200;2021-01-27T12:09:42.273428Z
2021-01-27T12:09:42.368000Z;200;200;2021-01-27T12:09:42.415925Z
2021-01-27T12:09:42.502000Z;200;200;2021-01-27T12:09:42.536170Z
2021-01-27T12:09:42.672000Z;200;200;2021-01-27T12:09:42.713456Z
2021-01-27T12:09:42.679000Z;200;200;2021-01-27T12:09:42.723647Z
2021-01-27T12:09:42.767000Z;200;200;2021-01-27T12:09:42.799772Z
2021-01-27T12:09:42.831000Z;200;200;2021-01-27T12:09:42.872866Z
2021-01-27T12:09:42.866000Z;200;200;2021-01-27T12:09:42.906989Z
2021-01-27T12:09:42.890000Z;200;200;2021-01-27T12:09:42.934780Z
2021-01-27T12:09:42.996000Z;200;200;2021-01-27T12:09:43.085437Z
2021-01-27T12:09:43.231000Z;200;200;2021-01-27T12:09:43.266067Z
2021-01-27T12:09:43.318000Z;200;200;2021-01-27T12:09:43.368111Z
2021-01-27T12:09:43.337000Z;200;200;2021-01-27T12:09:43.392633Z
2021-01-27T12:09:43.337000Z;200;200;2021-01-27T12:09:43.391049Z
2021-01-27T12:09:43.409000Z;200;200;2021-01-27T12:09:43.457674Z
2021-01-27T12:09:43.490000Z;200;200;2021-01-27T12:09:43.537520Z
2021-01-27T12:09:43.508000Z;200;200;2021-01-27T12:09:43.547643Z
2021-01-27T12:09:43.596000Z;200;200;2021-01-27T12:09:43.645305Z
2021-01-27T12:09:43.626000Z;200;200;2021-01-27T12:09:43.681333Z
2021-01-27T12:09:44.411000Z;200;200;2021-01-27T12:09:44.453997Z
2021-01-27T12:09:44.887000Z;200;200;2021-01-27T12:09:44.921335Z
2021-01-27T12:09:44.952000Z;200;200;2021-01-27T12:09:44.986492Z
2021-01-27T12:09:45.024000Z;200;200;2021-01-27T12:09:45.069481Z
2021-01-27T12:09:45.537000Z;200;200;2021-01-27T12:09:45.573521Z
2021-01-27T12:09:45.705000Z;200;200;2021-01-27T12:09:45.794501Z
2021-01-27T12:09:45.855000Z;200;200;2021-01-27T12:09:46.307603Z
2021-01-27T12:09:45.941000Z;200;200;2021-01-27T12:09:45.988110Z
2021-01-27T12:09:45.947000Z;200;200;2021-01-27T12:09:45.990029Z
2021-01-27T12:09:46.060000Z;200;200;2021-01-27T12:09:46.310554Z
2021-01-27T12:09:47.038000Z;200;200;2021-01-27T12:09:47.084006Z
2021-01-27T12:09:47.074000Z;200;200;2021-01-27T12:09:47.109983Z
2021-01-27T12:09:47.118000Z;200;200;2021-01-27T12:09:47.150182Z
2021-01-27T12:09:47.183000Z;200;200;2021-01-27T12:09:47.235486Z
2021-01-27T12:09:47.207000Z;200;200;2021-01-27T12:09:47.255702Z
2021-01-27T12:09:47.421000Z;200;200;2021-01-27T12:09:47.449543Z
2021-01-27T12:09:47.586000Z;200;200;2021-01-27T12:09:47.625280Z
